City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
764,Omboue,GA,76.93,overcast clouds,-1.57,9.26,Hotel Olako
769,Tiruchchendur,IN,83.03,broken clouds,8.48,78.12,Hotel Udhayam International
771,Radhanpur,IN,77.61,clear sky,23.83,71.6,YASH HOTEL
772,Eyl,SO,79.74,clear sky,7.98,49.82,Amiin Hotel
773,Christiana,ZA,80.2,broken clouds,-27.91,25.16,At-Neli Guesthouse
776,Thinadhoo,MV,83.97,overcast clouds,0.53,72.93,
779,Ocamonte,CO,77.72,scattered clouds,6.34,-73.12,lo sentimos ya no estamos funcionando
782,Neuquen,AR,75.2,scattered clouds,-38.95,-68.06,Hotel del Comahue
788,Alice Springs,AU,82.4,broken clouds,-23.7,133.88,Desert Palms Alice Springs
793,Guiglo,CI,83.7,light rain,6.55,-7.5,domicile de boubé TTK
794,Bull Savanna,JM,80.64,few clouds,17.89,-77.59,Big Red's
796,Calabozo,VE,86.99,overcast clouds,8.92,-67.43,Hotel Giardini
804,Tame,CO,87.35,scattered clouds,6.46,-71.73,Hospedaje Santa Ana
805,Bandarbeyla,SO,77.52,clear sky,9.49,50.81,REER XOOSHLE GROUP
809,Broken Hill,AU,78.8,broken clouds,-31.95,141.43,Daydream Motel & Cottages
814,Loanda,AO,78.8,scattered clouds,-8.84,13.23,EPIC SANA Luanda
817,Ojinaga,MX,78.8,clear sky,29.57,-104.42,Suites Las Palmas
821,Mwense,ZM,81.03,overcast clouds,-10.38,28.7,GrandPalm Lodge
823,Kingston,JM,86.0,light rain,18.0,-76.79,The Jamaica Pegasus Hotel
827,Kadhan,PK,80.08,clear sky,24.48,68.99,ڳوٺ چوڌري جلال الدين جٽ
828,Nanakuli,US,78.8,clear sky,21.39,-158.15,Camp Pālehua
830,Samdari,IN,76.15,clear sky,25.82,72.58,Karnoba Ki Dhani
832,Port Hedland,AU,77.0,clear sky,-20.32,118.57,The Esplanade Hotel
833,Veraval,IN,79.32,clear sky,20.9,70.37,Lords Inn Somnath
834,Elizabeth City,US,77.0,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
836,Tessalit,ML,83.44,few clouds,20.2,1.01,
838,Robertsport,LR,81.46,scattered clouds,6.75,-11.37,Kwepunha Retreat
839,Luwuk,ID,77.27,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
840,Iaciara,BR,90.91,broken clouds,-14.1,-46.63,Hotel Matinha
842,Bloemfontein,ZA,78.8,few clouds,-29.12,26.21,Protea Hotel by Marriott Bloemfontein
843,Choma,ZM,82.22,broken clouds,-16.81,26.95,Kamuboola Lodge
844,Fare,PF,78.75,overcast clouds,-16.7,-151.02,Maitai Lapita Village Huahine
862,Castanos,MX,80.01,clear sky,26.78,-101.42,Bomberos voluntarios castaños coahuila
864,Bosaso,SO,79.57,few clouds,11.28,49.18,Red Sea Hotel
865,Puerto Madryn,AR,76.23,overcast clouds,-42.77,-65.04,Hotel Tolosa
866,Campos,BR,84.2,broken clouds,-21.75,-41.3,Palace Hotel
869,Lakhtar,IN,77.63,clear sky,22.85,71.78,Firdaus Society
870,Lethem,GY,90.59,scattered clouds,3.38,-59.8,Savannah Inn
872,Houma,US,78.01,broken clouds,29.6,-90.72,Courtyard by Marriott Houma
879,San Miguel,SV,80.6,scattered clouds,13.48,-88.18,Excalibur
880,Minab,IR,80.6,haze,27.15,57.08,فروشگاه موبایل ترکمانی
881,Amapa,BR,94.8,clear sky,1.0,-52.0,
886,Nouadhibou,MR,75.2,clear sky,20.93,-17.03,El Medina
888,Kudahuvadhoo,MV,84.29,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
898,Lukulu,ZM,85.53,broken clouds,-14.37,23.24,Ruth Guest House
903,Renigunta,IN,78.8,few clouds,13.65,79.52,Appanna Rest House
904,Tres Arroyos,AR,81.77,overcast clouds,-38.37,-60.28,Habitacion Triple con baño y entrada privada
905,Oistins,BB,86.0,shower rain,13.07,-59.53,Butterfly Beach Hotel
908,Ouadda,CF,75.47,broken clouds,8.08,22.4,
910,Lubango,AO,84.2,scattered clouds,-14.92,13.49,Hotel Serra da Chela
911,Ende,ID,78.96,overcast clouds,-8.84,121.66,Dwi Putra Hotel - Ende
914,Padang,ID,77.83,overcast clouds,-0.95,100.35,Mercure Padang
921,Cozumel,MX,82.99,broken clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
926,Choix,MX,78.89,light rain,26.71,-108.32,Hotel Montesclaros
928,Labuhan,ID,80.06,overcast clouds,-6.88,112.21,bador sepret
930,Mayumba,GA,75.72,overcast clouds,-3.43,10.66,LIKWALE LODGE
937,Chabahar,IR,78.8,mist,25.29,60.64,هتل گدروشیا
951,Longonjo,AO,75.61,broken clouds,-12.91,15.25,
952,Ca Mau,VN,75.18,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
970,Kilindoni,TZ,80.87,light rain,-7.91,39.67,Bustani B&B
972,Hurghada,EG,77.0,clear sky,27.26,33.81,Sea Star Beau Rivage Hotel
974,Riachao Das Neves,BR,89.31,broken clouds,-11.75,-44.91,Pousada da sol
978,Kidal,ML,82.53,clear sky,18.44,1.41,
979,Puerto Ayacucho,VE,88.03,moderate rain,5.66,-67.62,Posada Turistica Manapiare
980,Guanica,PR,86.0,overcast clouds,17.97,-66.91,Copamarina Beach Resort & Spa
984,Koumra,TD,83.68,scattered clouds,8.91,17.55,Motel Espoir
985,Filingue,NE,88.45,broken clouds,14.35,3.32,
986,Palmas,BR,93.2,scattered clouds,-10.21,-48.36,Hotel Lago da Palma
987,Bajil,YE,83.44,clear sky,15.06,43.29,فندق الصقر السياحي
989,Arlit,NE,81.1,clear sky,18.74,7.39,Hôtel Telwa Bungalow
991,Barreirinhas,BR,90.9,few clouds,-2.75,-42.83,Gran Lençóis Flat Residence
997,Champerico,GT,78.8,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
999,Natal,BR,78.8,shower rain,-5.79,-35.21,Villa Park Hotel | Natal
1000,Pangoa,PE,93.83,broken clouds,-12.12,-73.0,
1002,Rockport,US,78.8,clear sky,28.02,-97.05,Holiday Inn Express & Suites Rockport - Bay View
